flow_id,start_time,end_time,duration,src_ip,sport,dst_ip,dport,proto,service,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,attack_id,attack,phase
f0,955911944.361171,955911944.362425,0.001254,202.77.162.213,63517,172.16.115.20,53,udp,dns,44,124,SF,F,T,0,Dd,1,72,1,152,-,17,1,1,1
f1,955911944.367104,955911944.367926,0.000822,202.77.162.213,63518,172.16.115.20,53,udp,dns,35,103,SF,F,T,0,Dd,1,63,1,131,-,17,2,1,1
f0,955912666.508871,955912666.508871,0.0,202.77.162.213,33912,172.16.115.20,32773,udp,-,0,0,S0,F,T,0,D,1,1440,0,0,-,17,4,1,2
f1,955912666.492942,955912666.4942528,0.001311,202.77.162.213,33910,172.16.115.20,111,udp,-,56,28,SF,F,T,0,Dd,1,84,1,56,-,17,3,1,2
f2,955912664.460405,955912664.460405,0.0,202.77.162.213,33896,172.16.115.20,32773,udp,-,0,0,S0,F,T,0,D,1,1440,0,0,-,17,2,1,2
f3,955912664.444203,955912664.445718,0.001515,202.77.162.213,33894,172.16.115.20,111,udp,-,56,28,SF,F,T,0,Dd,1,84,1,56,-,17,1,1,2
f0,955913388.708541,955913388.789708,0.081167,172.16.115.20,20,202.77.162.213,65268,tcp,ftp-data,0,42074,SF,T,F,0,ShAdfFa,19,764,32,43358,-,6,2,1,3
f1,955913388.562545,955913388.809476,0.246931,202.77.162.213,65267,172.16.115.20,21,tcp,ftp,97,256,SF,F,T,0,ShAdDaFf,10,625,11,836,-,6,1,1,3
f0,955914108.86466,955914156.557961,47.693301,202.77.162.213,32650,172.16.115.20,23,tcp,-,209,691,RSTO,F,T,0,ShAdDaFR,40,2273,37,2623,-,6,1,1,4
f1,955914171.385197,955914171.3871932,0.001996,172.16.115.20,33368,172.16.112.50,111,udp,-,56,28,SF,T,T,0,Dd,1,84,1,56,-,17,2,1,4
f2,955914171.389694,955914171.389694,0.0,172.16.115.20,33368,172.16.112.50,32773,udp,-,0,0,S0,T,T,0,D,1,1440,0,0,-,17,3,1,4
f3,955914172.436996,955914172.438362,0.001366,172.16.115.20,33369,172.16.112.50,111,udp,-,56,28,SF,T,T,0,Dd,1,84,1,56,-,17,4,1,4
f4,955914172.44112,955914172.44112,0.0,172.16.115.20,33369,172.16.112.50,32773,udp,-,0,0,S0,T,T,0,D,1,1440,0,0,-,17,5,1,4
f5,955914295.481993,955914295.481993,0.0,172.16.112.50,33345,172.16.115.20,9325,udp,-,0,0,S0,T,T,0,D,1,37,0,0,-,17,9,1,4
f6,955914293.748498,955914293.9147668,0.166269,172.16.112.50,20,172.16.115.20,32840,tcp,ftp-data,0,44237,SF,T,T,0,ShAdfFa,11,444,37,45721,-,6,7,1,4
f7,955914293.924717,955914297.4592588,3.534542,172.16.115.20,32841,172.16.112.50,23,tcp,-,99,1464,SF,T,T,0,ShAdDFaf,26,1143,23,2388,-,6,8,1,4
f8,955914293.566531,955914293.91846,0.351929,172.16.115.20,32839,172.16.112.50,21,tcp,ftp,78,259,SF,T,T,0,ShAdDFaf,12,562,10,663,-,6,6,1,4
f0,955915509.329267,955915538.981689,29.652422,172.16.115.20,32844,172.16.112.50,23,tcp,-,202,1608,SF,T,T,0,ShADadfF,156,6446,91,5252,-,6,2,1,5
f1,955915536.337289,955915536.337289,0.0,172.16.112.50,33370,172.16.115.20,9325,udp,-,0,0,S0,T,T,0,D,1,37,0,0,-,17,3,1,5
f2,955915575.627387,955915575.627387,0.0,172.16.115.20,33387,172.16.112.50,7983,udp,-,0,0,S0,T,T,0,D,1,50,0,0,-,17,4,1,5
f3,955915575.627609,955915575.627609,0.0,172.16.112.50,3,172.16.115.20,3,icmp,-,0,0,OTH,T,T,0,-,1,78,0,0,-,1,5,1,5
f4,955915483.578674,955915971.645299,488.066625,202.77.162.213,34888,172.16.115.20,23,tcp,-,349,3085,S1,F,T,0,ShADad,448,23653,254,16301,-,6,1,1,5
