ts,rss_bytes,rss_mb,proc_cpu_percent,system_mem_percent,system_mem_available_mb
2026-05-25T15:23:41.962382+00:00Z,1161990144,1108.16015625,1136.4,28.0,45890.34765625
2026-05-25T15:23:42.963253+00:00Z,1164791808,1110.83203125,1215.8,28.0,45910.58203125
2026-05-25T15:23:43.964390+00:00Z,1166708736,1112.66015625,1305.5,28.2,45785.203125
2026-05-25T15:23:44.965767+00:00Z,1167892480,1113.7890625,1390.0,28.2,45771.203125
2026-05-25T15:23:45.967765+00:00Z,1169149952,1114.98828125,1380.3,28.2,45777.015625
2026-05-25T15:23:46.969791+00:00Z,1179987968,1125.32421875,1295.4,28.2,45797.1953125
2026-05-25T15:23:47.971753+00:00Z,1192443904,1137.203125,1380.3,28.2,45796.0
2026-05-25T15:23:48.972957+00:00Z,1201115136,1145.47265625,1336.4,28.2,45802.89453125
2026-05-25T15:23:49.974798+00:00Z,1211035648,1154.93359375,1128.6,28.1,45816.2734375
2026-05-25T15:23:50.978283+00:00Z,1219981312,1163.46484375,1317.8,28.1,45828.515625
2026-05-25T15:23:51.981739+00:00Z,1222516736,1165.8828125,1280.6,28.1,45857.6328125
2026-05-25T15:23:52.982607+00:00Z,1232560128,1175.4609375,1360.7,28.1,45812.125
2026-05-25T15:23:53.983711+00:00Z,1243480064,1185.875,1351.6,28.2,45792.39453125
2026-05-25T15:23:54.984465+00:00Z,1251860480,1193.8671875,1361.0,28.2,45787.4765625
2026-05-25T15:23:55.985531+00:00Z,1261563904,1203.12109375,1348.5,28.2,45787.5078125
2026-05-25T15:23:56.986399+00:00Z,1270673408,1211.80859375,1414.7,28.2,45782.38671875
2026-05-25T15:23:57.990314+00:00Z,1280454656,1221.13671875,1305.9,28.2,45787.25390625
2026-05-25T15:23:58.991294+00:00Z,1287913472,1228.25,1400.7,28.2,45802.70703125
2026-05-25T15:23:59.992273+00:00Z,1296363520,1236.30859375,1404.7,28.1,45812.25
2026-05-25T15:24:00.992996+00:00Z,1307058176,1246.5078125,1332.0,28.0,45930.27734375
2026-05-25T15:24:01.993718+00:00Z,1317945344,1256.890625,1349.8,28.0,45925.63671875
2026-05-25T15:24:02.995388+00:00Z,1326977024,1265.50390625,1284.2,28.0,45909.57421875
2026-05-25T15:24:03.996127+00:00Z,1337511936,1275.55078125,1386.9,28.0,45919.66015625
2026-05-25T15:24:04.997002+00:00Z,1346752512,1284.36328125,1341.9,28.0,45928.88671875
2026-05-25T15:24:05.997939+00:00Z,1353248768,1290.55859375,1423.6,27.9,45939.08203125
2026-05-25T15:24:06.999264+00:00Z,1354625024,1291.87109375,1592.6,28.1,45856.32421875
2026-05-25T15:24:08.002438+00:00Z,1355493376,1292.69921875,1592.3,28.3,45712.14453125
2026-05-25T15:24:09.012103+00:00Z,1355493376,1292.69921875,1593.6,28.2,45749.35546875
2026-05-25T15:24:10.013461+00:00Z,1355493376,1292.69921875,1595.8,28.0,45878.48046875
2026-05-25T15:24:11.014980+00:00Z,1355493376,1292.69921875,1595.7,28.0,45903.03125
2026-05-25T15:24:12.015779+00:00Z,1355493376,1292.69921875,1597.7,28.0,45911.8984375
2026-05-25T15:24:13.016534+00:00Z,1355563008,1292.765625,1593.7,28.0,45893.03515625
2026-05-25T15:24:14.017489+00:00Z,1355563008,1292.765625,1594.4,28.0,45887.375
2026-05-25T15:24:15.018650+00:00Z,1355563008,1292.765625,1594.3,27.8,46016.79296875
2026-05-25T15:24:16.019484+00:00Z,1355563008,1292.765625,1597.7,27.8,46018.625
2026-05-25T15:24:17.020506+00:00Z,1355563008,1292.765625,1595.9,27.8,46055.9375
2026-05-25T15:24:18.023606+00:00Z,1355563008,1292.765625,1594.3,27.9,45965.67578125
2026-05-25T15:24:19.024782+00:00Z,1355563008,1292.765625,1595.1,27.9,45954.86328125
2026-05-25T15:24:20.027096+00:00Z,1355563008,1292.765625,1594.3,27.8,45996.37109375
2026-05-25T15:24:21.028791+00:00Z,1355563008,1292.765625,1595.3,27.9,45933.68359375
2026-05-25T15:24:22.030843+00:00Z,1355563008,1292.765625,1594.7,28.0,45899.26953125
2026-05-25T15:24:23.032822+00:00Z,1355563008,1292.765625,1595.9,27.9,45940.015625
2026-05-25T15:24:24.034765+00:00Z,1355563008,1292.765625,1592.9,28.0,45906.15625
2026-05-25T15:24:25.036775+00:00Z,1355563008,1292.765625,1592.8,28.0,45904.53125
2026-05-25T15:24:26.038783+00:00Z,1355563008,1292.765625,1592.7,28.0,45899.48046875
2026-05-25T15:24:27.040818+00:00Z,1355563008,1292.765625,1595.8,27.9,45932.0546875
2026-05-25T15:24:28.042980+00:00Z,1355563008,1292.765625,1595.6,27.9,45956.91796875
2026-05-25T15:24:29.044848+00:00Z,1355563008,1292.765625,1595.1,27.9,45940.7890625
2026-05-25T15:24:30.046764+00:00Z,1355563008,1292.765625,1598.9,27.9,45958.890625
2026-05-25T15:24:31.048868+00:00Z,1355563008,1292.765625,1596.4,27.9,45965.625
2026-05-25T15:24:32.050749+00:00Z,1355563008,1292.765625,1596.3,27.9,45962.515625
2026-05-25T15:24:33.054221+00:00Z,1355563008,1292.765625,1594.5,27.9,45943.75
2026-05-25T15:24:34.055307+00:00Z,1355563008,1292.765625,1593.2,27.9,45949.53125
2026-05-25T15:24:35.056832+00:00Z,1355563008,1292.765625,1595.4,27.9,45948.234375
2026-05-25T15:24:36.058879+00:00Z,1355567104,1292.76953125,1593.7,27.9,45959.27734375
2026-05-25T15:24:37.060822+00:00Z,1355567104,1292.76953125,1596.1,27.9,45961.0390625
2026-05-25T15:24:38.062785+00:00Z,1355567104,1292.76953125,1596.7,27.9,45966.296875
2026-05-25T15:24:39.064946+00:00Z,1355567104,1292.76953125,1597.7,27.9,45960.3125
2026-05-25T15:24:40.066799+00:00Z,1355567104,1292.76953125,1595.1,27.9,45961.7265625
2026-05-25T15:24:41.068995+00:00Z,1355567104,1292.76953125,1594.5,27.9,45970.609375
2026-05-25T15:24:42.070773+00:00Z,1355567104,1292.76953125,1597.1,27.9,45968.53125
2026-05-25T15:24:43.072807+00:00Z,1355567104,1292.76953125,1593.8,27.9,45972.53515625
2026-05-25T15:24:44.074893+00:00Z,1355567104,1292.76953125,1592.5,28.2,45803.3125
2026-05-25T15:24:45.076826+00:00Z,1355567104,1292.76953125,1588.7,28.3,45736.9375
2026-05-25T15:24:46.078756+00:00Z,1355567104,1292.76953125,1595.3,28.2,45784.89453125
2026-05-25T15:24:47.080807+00:00Z,1355567104,1292.76953125,1593.7,28.2,45802.48828125
2026-05-25T15:24:48.082772+00:00Z,1355567104,1292.76953125,1592.8,28.2,45800.7734375
2026-05-25T15:24:49.084766+00:00Z,1355567104,1292.76953125,1588.9,28.2,45785.89453125
2026-05-25T15:24:50.086773+00:00Z,1355567104,1292.76953125,1592.8,28.1,45805.90625
2026-05-25T15:24:51.088763+00:00Z,1355567104,1292.76953125,1597.9,28.1,45866.046875
2026-05-25T15:24:52.090861+00:00Z,1355567104,1292.76953125,1596.7,28.0,45869.0078125
2026-05-25T15:24:53.093147+00:00Z,1355567104,1292.76953125,1593.3,27.9,45940.5234375
2026-05-25T15:24:54.097638+00:00Z,1355567104,1292.76953125,1597.9,27.9,45942.5
2026-05-25T15:24:55.098812+00:00Z,1355567104,1292.76953125,1594.1,27.9,45950.86328125
2026-05-25T15:24:56.100751+00:00Z,1355571200,1292.7734375,1595.9,27.9,45967.96875
2026-05-25T15:24:57.102759+00:00Z,1355571200,1292.7734375,1595.8,27.9,45981.2265625
2026-05-25T15:24:58.104767+00:00Z,1355571200,1292.7734375,1595.8,27.9,45981.99609375
2026-05-25T15:24:59.108749+00:00Z,1355571200,1292.7734375,1594.5,27.9,45982.6015625
2026-05-25T15:25:00.110762+00:00Z,1355571200,1292.7734375,1596.9,27.9,45985.1796875
2026-05-25T15:25:01.113109+00:00Z,1355571200,1292.7734375,1593.3,27.9,45975.86328125
2026-05-25T15:25:02.114753+00:00Z,1355571200,1292.7734375,1593.4,27.9,45974.953125
2026-05-25T15:25:03.116767+00:00Z,1355571200,1292.7734375,1593.8,27.9,45971.8125
2026-05-25T15:25:04.119047+00:00Z,1355571200,1292.7734375,1591.4,27.9,45978.33984375
2026-05-25T15:25:05.120780+00:00Z,1355571200,1292.7734375,1592.2,27.9,45981.796875
2026-05-25T15:25:06.122760+00:00Z,1355571200,1292.7734375,1592.8,27.9,45983.4609375
2026-05-25T15:25:07.125001+00:00Z,1355571200,1292.7734375,1592.5,27.9,45982.73828125
2026-05-25T15:25:08.128883+00:00Z,1355571200,1292.7734375,1592.8,27.9,45985.12890625
2026-05-25T15:25:09.134949+00:00Z,1355571200,1292.7734375,1594.3,27.9,45979.96875
2026-05-25T15:25:10.136895+00:00Z,1355571200,1292.7734375,1595.0,27.9,45987.04296875
2026-05-25T15:25:11.138773+00:00Z,1355571200,1292.7734375,1597.1,27.9,45990.43359375
2026-05-25T15:25:12.140037+00:00Z,1355571200,1292.7734375,1594.9,27.9,45976.70703125
2026-05-25T15:25:13.141784+00:00Z,1355571200,1292.7734375,1595.2,27.9,45981.6796875
2026-05-25T15:25:14.143842+00:00Z,1355571200,1292.7734375,1594.7,27.9,45967.63671875
2026-05-25T15:25:15.145756+00:00Z,1355571200,1292.7734375,1594.9,27.9,45994.13671875
2026-05-25T15:25:16.147832+00:00Z,1355571200,1292.7734375,1594.7,27.8,45997.96875
2026-05-25T15:25:17.149759+00:00Z,1355571200,1292.7734375,1595.9,27.8,45996.90234375
2026-05-25T15:25:18.151915+00:00Z,1355571200,1292.7734375,1590.5,27.7,46061.80078125
2026-05-25T15:25:19.153876+00:00Z,1355571200,1292.7734375,1591.9,27.7,46065.93359375
2026-05-25T15:25:20.155824+00:00Z,1355571200,1292.7734375,1591.9,27.7,46059.62890625
2026-05-25T15:25:21.157762+00:00Z,1355571200,1292.7734375,1590.9,27.9,45973.046875
2026-05-25T15:25:22.159781+00:00Z,1355571200,1292.7734375,1594.7,27.9,45972.484375
2026-05-25T15:25:23.161847+00:00Z,1355571200,1292.7734375,1594.8,27.9,45958.0390625
2026-05-25T15:25:24.163969+00:00Z,1355571200,1292.7734375,1590.7,27.9,45945.09375
2026-05-25T15:25:25.165775+00:00Z,1355571200,1292.7734375,1595.0,27.9,45935.609375
2026-05-25T15:25:26.167861+00:00Z,1355571200,1292.7734375,1595.8,27.9,45949.57421875
2026-05-25T15:25:27.169818+00:00Z,1355571200,1292.7734375,1595.9,27.9,45946.265625
2026-05-25T15:25:28.171749+00:00Z,1355571200,1292.7734375,1597.9,27.9,45961.359375
2026-05-25T15:25:29.174011+00:00Z,1355571200,1292.7734375,1595.1,27.9,45953.671875
2026-05-25T15:25:30.176015+00:00Z,1355571200,1292.7734375,1595.0,27.9,45936.06640625
2026-05-25T15:25:31.177752+00:00Z,1355571200,1292.7734375,1597.3,28.0,45929.4609375
2026-05-25T15:25:32.179766+00:00Z,1355571200,1292.7734375,1594.8,27.9,45944.890625
2026-05-25T15:25:33.181771+00:00Z,1355571200,1292.7734375,1594.8,27.9,45937.38671875
2026-05-25T15:25:34.183835+00:00Z,1355571200,1292.7734375,1589.7,28.0,45904.08203125
2026-05-25T15:25:35.185762+00:00Z,1355571200,1292.7734375,1593.0,28.0,45897.63671875
2026-05-25T15:25:36.187786+00:00Z,1355571200,1292.7734375,1595.7,27.9,45932.9765625
2026-05-25T15:25:37.189803+00:00Z,1355571200,1292.7734375,1595.6,28.0,45926.45703125
2026-05-25T15:25:38.191763+00:00Z,1355571200,1292.7734375,1596.2,27.9,45935.2109375
2026-05-25T15:25:39.193975+00:00Z,1355571200,1292.7734375,1596.5,28.0,45924.21875
2026-05-25T15:25:40.198000+00:00Z,1355571200,1292.7734375,1586.5,28.0,45912.6875
2026-05-25T15:25:41.199352+00:00Z,1355571200,1292.7734375,1594.5,27.9,45936.27734375
2026-05-25T15:25:42.201851+00:00Z,1355571200,1292.7734375,1595.4,27.9,45955.32421875
2026-05-25T15:25:43.203752+00:00Z,1355571200,1292.7734375,1595.0,27.9,45960.9375
2026-05-25T15:25:44.205828+00:00Z,1355571200,1292.7734375,1588.6,28.2,45769.453125
2026-05-25T15:25:45.207824+00:00Z,1355571200,1292.7734375,1586.5,28.2,45745.1875
2026-05-25T15:25:46.209941+00:00Z,1355571200,1292.7734375,1593.8,28.2,45747.4296875
2026-05-25T15:25:47.211927+00:00Z,1355571200,1292.7734375,1593.9,28.2,45750.9921875
2026-05-25T15:25:48.233748+00:00Z,1355571200,1292.7734375,1585.6,28.3,45735.4296875
2026-05-25T15:25:49.235123+00:00Z,1355571200,1292.7734375,1558.8,28.3,45695.6328125
2026-05-25T15:25:50.236407+00:00Z,1355571200,1292.7734375,1596.0,28.3,45702.7109375
2026-05-25T15:25:51.237786+00:00Z,1355571200,1292.7734375,1587.8,28.3,45713.40625
2026-05-25T15:25:52.239523+00:00Z,1355571200,1292.7734375,1588.3,28.2,45776.90234375
2026-05-25T15:25:53.240829+00:00Z,1355571200,1292.7734375,1595.0,28.2,45778.328125
2026-05-25T15:25:54.242753+00:00Z,1355571200,1292.7734375,1596.9,28.2,45786.640625
2026-05-25T15:25:55.244765+00:00Z,1355571200,1292.7734375,1586.6,28.2,45744.359375
2026-05-25T15:25:56.246799+00:00Z,1355571200,1292.7734375,1585.9,28.3,45718.38671875
2026-05-25T15:25:57.248965+00:00Z,1355571200,1292.7734375,1595.5,28.3,45711.5390625
2026-05-25T15:25:58.250833+00:00Z,1355571200,1292.7734375,1578.0,28.3,45708.7109375
2026-05-25T15:25:59.252855+00:00Z,1355571200,1292.7734375,1593.9,28.3,45697.34375
2026-05-25T15:26:00.253758+00:00Z,1355571200,1292.7734375,1596.4,28.4,45665.79296875
2026-05-25T15:26:01.255942+00:00Z,1355571200,1292.7734375,1592.5,28.3,45693.1015625
2026-05-25T15:26:02.257802+00:00Z,1355710464,1292.90625,1589.2,28.3,45696.1484375
2026-05-25T15:26:03.258768+00:00Z,1355710464,1292.90625,1576.3,28.4,45628.90234375
2026-05-25T15:26:04.260747+00:00Z,1355710464,1292.90625,1589.0,28.4,45663.22265625
2026-05-25T15:26:05.262742+00:00Z,1355714560,1292.91015625,1595.9,28.4,45636.58203125
2026-05-25T15:26:06.263679+00:00Z,1355714560,1292.91015625,1596.5,28.3,45678.71875
2026-05-25T15:26:07.264788+00:00Z,1355714560,1292.91015625,1596.3,28.3,45705.91796875
2026-05-25T15:26:08.266815+00:00Z,1355714560,1292.91015625,1595.7,28.3,45683.57421875
2026-05-25T15:26:09.267840+00:00Z,1355714560,1292.91015625,1596.3,28.3,45699.30859375
2026-05-25T15:26:10.269761+00:00Z,1355714560,1292.91015625,1593.9,28.3,45678.453125
2026-05-25T15:26:11.271814+00:00Z,1355714560,1292.91015625,1594.8,28.3,45717.3046875
2026-05-25T15:26:12.273857+00:00Z,1355714560,1292.91015625,1596.6,28.3,45709.64453125
2026-05-25T15:26:13.275760+00:00Z,1355714560,1292.91015625,1592.0,28.3,45711.9453125
2026-05-25T15:26:14.277877+00:00Z,1355714560,1292.91015625,1595.7,28.3,45714.74609375
2026-05-25T15:26:15.279822+00:00Z,1355714560,1292.91015625,1597.9,28.3,45724.0390625
2026-05-25T15:26:16.280774+00:00Z,1355714560,1292.91015625,1596.5,28.2,45757.00390625
2026-05-25T15:26:17.281600+00:00Z,1355714560,1292.91015625,1597.6,28.2,45757.55078125
2026-05-25T15:26:18.282736+00:00Z,1355714560,1292.91015625,1596.2,28.2,45768.3046875
2026-05-25T15:26:19.283823+00:00Z,1355714560,1292.91015625,1597.2,28.2,45756.6171875
2026-05-25T15:26:20.285738+00:00Z,1355714560,1292.91015625,1594.0,28.2,45764.7421875
2026-05-25T15:26:21.286620+00:00Z,1355714560,1292.91015625,1593.6,28.2,45757.4609375
2026-05-25T15:26:22.287886+00:00Z,1355714560,1292.91015625,1596.0,28.2,45775.1796875
2026-05-25T15:26:23.289743+00:00Z,1355714560,1292.91015625,1598.0,28.2,45759.796875
2026-05-25T15:26:24.290643+00:00Z,1355714560,1292.91015625,1596.4,28.2,45762.125
2026-05-25T15:26:25.292752+00:00Z,1355714560,1292.91015625,1591.6,28.1,45846.8359375
2026-05-25T15:26:26.294789+00:00Z,1355714560,1292.91015625,1592.9,28.1,45836.13671875
2026-05-25T15:26:27.295504+00:00Z,1355714560,1292.91015625,1597.8,28.1,45852.3203125
2026-05-25T15:26:28.296774+00:00Z,1355714560,1292.91015625,1597.0,28.1,45863.140625
