flow_id,start_time,end_time,duration,src_ip,sport,dst_ip,dport,proto,service,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,local_orig,local_resp,attack_id,attack,phase
f0,955911947.011032,955911947.013347,0.002315,202.77.162.213,1334,172.16.115.20,53,udp,dns,44,124,1,1,SF,F,T,1,1,1
f1,955911947.017002,955911947.018786,0.001784,202.77.162.213,1335,172.16.115.20,53,udp,dns,35,103,1,1,SF,F,T,2,1,1
f0,955912669.15264,955912669.15264,0.0,202.77.162.213,824,172.16.115.20,33911,udp,-,0,0,1,0,S0,F,T,4,1,2
f1,955912669.137376,955912669.139964,0.002588,202.77.162.213,823,172.16.115.20,111,udp,-,56,28,1,1,SF,F,T,3,1,2
f2,955912667.104324,955912667.104324,0.0,202.77.162.213,823,172.16.115.20,33895,udp,-,0,0,1,0,S0,F,T,2,1,2
f3,955912667.088829,955912667.091545,0.002716,202.77.162.213,822,172.16.115.20,111,udp,-,56,28,1,1,SF,F,T,1,1,2
f0,955913391.353127,955913391.431238,0.078111,172.16.115.20,20,202.77.162.213,2338,tcp,ftp-data,0,42074,17,32,SF,T,F,2,1,3
f1,955913391.204349,955913391.450821,0.246472,202.77.162.213,2299,172.16.115.20,21,tcp,ftp,94,256,11,10,SF,F,T,1,1,3
f0,955914111.501829,955914159.196881,47.695052,202.77.162.213,2400,172.16.115.20,23,tcp,-,209,684,39,37,SF,F,T,1,1,4
f0,955915486.209283,955915974.274395,488.065112,202.77.162.213,2401,172.16.115.20,23,tcp,-,349,3085,448,259,S1,F,T,1,1,5
